製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,2,,,,,
計測開始時刻 ,2018/2/27 12:38,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
183,0.0323,0.0321,0.8804,-0.4563,,0.0323
184,0.0412,0.045,0.8933,-0.4691,,0.0412
185,0.044,0.045,0.8933,-0.4563,,0.044
186,-0.0182,0.0321,0.8933,-0.4691,,0.0182
187,-0.076,0.0321,0.8933,-0.4434,,0.076
188,-0.0291,0.0964,0.8933,-0.4563,,0.0291
189,-0.0064,0.045,0.8804,-0.4563,,0.0064
190,0.0037,0.045,0.8933,-0.4691,,0.0037
191,0.0008,0.045,0.8933,-0.482,,0.0008
192,0.0076,0.045,0.8933,-0.4691,,0.0076
193,0.0061,0.0321,0.8933,-0.4948,,0.0061
194,0.0503,0.045,0.9061,-0.4691,,0.0503
195,0.068,0.0321,0.8933,-0.482,,0.068
196,0.0794,0.0321,0.9061,-0.4563,,0.0794
197,0.0633,0.0321,0.9061,-0.4563,,0.0633
198,0.0717,0.0321,0.8933,-0.4563,,0.0717
199,0.0981,0.0321,0.8933,-0.482,,0.0981
200,0.0902,0.045,0.8933,-0.482,,0.0902
201,0.0786,0.0193,0.8933,-0.482,,0.0786
202,0.0563,0.0193,0.8804,-0.4691,,0.0563
203,0.0445,0.0064,0.8804,-0.482,,0.0445
204,0.0376,0.0193,0.8804,-0.4434,,0.0376
205,0.0858,0.0321,0.8804,-0.4563,,0.0858
206,0.1778,0.0321,0.8804,-0.4563,,0.1778
207,0.195,0.0064,0.8804,-0.482,,0.195
208,0.0955,0.0193,0.8804,-0.4691,,0.0955
209,0.0459,0.0193,0.8804,-0.4563,,0.0459
210,0.0313,0.0193,0.8933,-0.4563,,0.0313
211,0.0212,0.0193,0.9061,-0.4563,,0.0212
212,-0.0118,0.0321,0.8933,-0.482,,0.0118
213,0.0281,0.0321,0.8804,-0.4563,,0.0281
214,-0.0074,0.0321,0.8804,-0.4563,,0.0074
215,0.0261,0.0193,0.8804,-0.482,,0.0261
216,0.0686,0.0193,0.8804,-0.4691,,0.0686
217,0.0708,0.0193,0.8933,-0.4691,,0.0708
218,0.062,0.0064,0.8676,-0.4691,,0.062
219,0.0375,0.0321,0.8804,-0.4691,,0.0375
220,-0.0503,0.0193,0.8676,-0.482,,0.0503
221,-0.0742,0.0321,0.8804,-0.4691,,0.0742
222,-0.0546,0.0321,0.8933,-0.482,,0.0546
223,-0.0832,0.0321,0.8676,-0.482,,0.0832
224,-0.0114,0.0321,0.8804,-0.4563,,0.0114
225,0.0774,0.0321,0.8804,-0.4691,,0.0774
226,0.0914,0.0321,0.8804,-0.4563,,0.0914
227,0.0836,0.0321,0.8804,-0.4434,,0.0836
228,0.0814,0.0193,0.8547,-0.4691,,0.0814
229,0.0624,0.0321,0.8676,-0.482,,0.0624
230,0.0305,0.0321,0.8547,-0.4948,,0.0305
231,0.024,0.0321,0.8547,-0.4948,,0.024
232,0.0407,0.0321,0.8676,-0.4691,,0.0407
233,0.0558,0.0835,0.8676,-0.4691,,0.0558
234,0.0735,0.0321,0.8547,-0.482,,0.0735
235,0.0777,0.0193,0.8676,-0.4691,,0.0777
236,0.1102,0.0321,0.8676,-0.4563,,0.1102
237,0.1191,0.045,0.8676,-0.482,,0.1191
238,0.14,0.0321,0.8676,-0.482,,0.14
239,0.1185,0.0321,0.8804,-0.4691,,0.1185
240,0.0851,0.0321,0.8676,-0.4691,,0.0851
241,0.0722,0.0321,0.8676,-0.4691,,0.0722
242,0.0754,0.045,0.8676,-0.4434,,0.0754
