製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,6,,,,
計測開始時刻 ,2018/2/27 11:32,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,絶対値
227,0.0876,0.0964,1.0218,0.045,0.0876
228,0.0845,0.0835,1.0089,0.0321,0.0845
229,0.0899,0.1092,1.0089,0.0321,0.0899
230,0.1283,0.0835,1.0089,0.0707,0.1283
231,0.1786,0.0964,1.0089,0.0321,0.1786
232,0.1984,0.0964,1.0218,0.045,0.1984
233,0.2196,0.0835,1.0089,0.045,0.2196
234,0.1983,0.1092,1.0218,0.0707,0.1983
235,0.179,0.1092,1.0089,0.045,0.179
236,0.1493,0.0964,1.0089,0.0321,0.1493
237,0.1255,0.0964,1.0089,0.0321,0.1255
238,0.027,0.0964,1.0089,0.0578,0.027
239,0.0541,0.0964,1.0218,0.0707,0.0541
240,0.0596,0.0964,1.0218,0.045,0.0596
241,0.0208,0.1092,1.0218,0.0578,0.0208
242,0.0215,0.1092,1.0089,0.0578,0.0215
243,0.0493,0.1092,1.0089,0.045,0.0493
244,0.0475,0.1092,1.0346,0.0321,0.0475
245,0.079,0.1092,1.0089,0.0578,0.079
246,0.0676,0.0964,1.0089,0.0578,0.0676
247,0.0497,0.0964,1.0089,0.045,0.0497
248,0.0525,0.1092,1.0218,0.0707,0.0525
249,0.035,0.1221,1.0218,0.045,0.035
250,0.0215,0.0964,1.0218,0.0578,0.0215
251,0.0239,0.1221,1.0218,0.0707,0.0239
252,0.025,0.1092,1.0089,0.0578,0.025
253,0.036,0.1092,1.0089,0.0707,0.036
254,0.0283,0.0964,1.0089,0.0707,0.0283
255,0.0405,0.1092,1.0218,0.0964,0.0405
256,0.0297,0.1092,1.0346,0.0707,0.0297
257,0.0064,0.1092,1.0089,0.0835,0.0064
258,0.0086,0.1092,1.0218,0.0707,0.0086
259,0.0057,0.0964,1.0089,0.0835,0.0057
260,0.0289,0.1092,1.0218,0.0835,0.0289
