 2.860, 25.23, 20.77
 2.865, 25.15, 20.76
 2.870, 25.12, 20.76
 2.875, 25.02, 20.71
 2.880, 24.93, 20.70
 2.885, 24.83, 20.68
 2.890, 24.72, 20.65
 2.895, 24.60, 20.61
 2.900, 24.49, 20.59
 2.905, 24.36, 20.55
 2.910, 24.22, 20.53
 2.915, 24.08, 20.48
 2.920, 23.95, 20.45
 2.925, 23.81, 20.42
 2.930, 23.67, 20.38
 2.935, 23.53, 20.35
 2.940, 23.40, 20.34
 2.945, 23.25, 20.30
 2.950, 23.11, 20.27
 2.955, 22.99, 20.25
 2.960, 22.88, 20.19
 2.965, 22.76, 20.18
 2.970, 22.63, 20.15
 2.975, 22.53, 20.14
 2.980, 22.43, 20.11
 2.985, 22.35, 20.09
 2.990, 22.24, 20.07
 2.995, 22.18, 20.02
 3.000, 22.10, 20.00
 3.005, 22.04, 19.99
 3.010, 21.98, 19.97
 3.015, 21.92, 19.96
 3.020, 21.88, 19.91
 3.025, 21.85, 19.90
 3.030, 21.84, 19.86
 3.035, 21.81, 19.86
 3.040, 21.79, 19.80
 3.045, 21.78, 19.78
 3.050, 21.78, 19.76
 3.055, 21.78, 19.72
 3.060, 21.81, 19.70
 3.065, 21.85, 19.68
 3.070, 21.87, 19.66
 3.075, 21.91, 19.63
 3.080, 21.96, 19.61
 3.085, 21.99, 19.56
 3.090, 22.07, 19.56
 3.095, 22.10, 19.53
 3.100, 22.20, 19.50
 3.105, 22.27, 19.48
 3.110, 22.34, 19.48
 3.115, 22.43, 19.45
 3.120, 22.54, 19.45
 3.125, 22.65, 19.45
 3.130, 22.76, 19.44
 3.135, 22.86, 19.44
 3.140, 22.98, 19.44
 3.145, 23.10, 19.43
 3.150, 23.23, 19.43
 3.155, 23.34, 19.43
 3.160, 23.47, 19.43
 3.165, 23.58, 19.43
 3.170, 23.71, 19.44
 3.175, 23.85, 19.47
 3.180, 24.00, 19.47
 3.185, 24.14, 19.48
 3.190, 24.29, 19.51
 3.195, 24.44, 19.56
 3.200, 24.58, 19.56
 3.205, 24.75, 19.59
 3.210, 24.93, 19.62
 3.215, 25.09, 19.65
 3.220, 25.28, 19.68
 3.225, 25.47, 19.69
 3.230, 25.64, 19.69
 3.235, 25.84, 19.70
 3.240, 26.06, 19.71
 3.245, 26.26, 19.71
 3.250, 26.45, 19.71
 3.255, 26.66, 19.71
 3.260, 26.83, 19.71
 3.265, 27.04, 19.71
 3.270, 27.23, 19.71
 3.275, 27.39, 19.71
 3.280, 27.59, 19.70
 3.285, 27.77, 19.69
 3.290, 27.93, 19.69
 3.295, 28.13, 19.68
 3.300, 28.31, 19.64
 3.305, 28.49, 19.58
 3.310, 28.69, 19.54
 3.315, 28.87, 19.49
 3.320, 29.03, 19.42
 3.325, 29.21, 19.35
 3.330, 29.37, 19.29
 3.335, 29.50, 19.22
 3.340, 29.64, 19.19
 3.345, 29.74, 19.13
 3.350, 29.82, 19.10
 3.355, 29.87, 19.09
 3.360, 29.89, 19.11
 3.365, 29.89, 19.11
 3.370, 29.85, 19.15
 3.375, 29.77, 19.21
 3.380, 29.69, 19.27
 3.385, 29.58, 19.31
 3.390, 29.46, 19.33
 3.395, 29.33, 19.40
 3.400, 29.22, 19.43
 3.405, 29.07, 19.48
 3.410, 28.91, 19.53
 3.415, 28.77, 19.53
 3.420, 28.58, 19.56
 3.425, 28.43, 19.61
 3.430, 28.25, 19.66
 3.435, 28.07, 19.69
 3.440, 27.90, 19.72
 3.445, 27.72, 19.75
 3.450, 27.56, 19.78
 3.455, 27.36, 19.79
 3.460, 27.18, 19.82
 3.465, 27.00, 19.86
 3.470, 26.82, 19.89
 3.475, 26.63, 19.90
 3.480, 26.41, 19.90
 3.485, 26.26, 19.91
 3.490, 26.06, 19.93
 3.495, 25.85, 19.95
 3.500, 25.67, 19.98
 3.505, 25.48, 20.01
 3.510, 25.29, 20.02
 3.515, 25.09, 20.03
 3.520, 24.91, 20.09
 3.525, 24.74, 20.11
 3.530, 24.55, 20.12
 3.535, 24.38, 20.17
 3.540, 24.21, 20.18
 3.545, 24.06, 20.20
 3.550, 23.89, 20.20
 3.555, 23.75, 20.22
 3.560, 23.62, 20.21
 3.565, 23.49, 20.22
 3.570, 23.34, 20.23
 3.575, 23.22, 20.23
 3.580, 23.11, 20.24
 3.585, 23.00, 20.23
 3.590, 22.89, 20.24
 3.595, 22.79, 20.24
 3.600, 22.70, 20.24
 3.605, 22.59, 20.26
 3.610, 22.50, 20.27
 3.615, 22.40, 20.26
 3.620, 22.32, 20.28
 3.625, 22.24, 20.26
 3.630, 22.16, 20.27
 3.635, 22.09, 20.28
 3.640, 22.04, 20.28
 3.645, 21.96, 20.26
 3.650, 21.90, 20.25
 3.655, 21.85, 20.25
 3.660, 21.80, 20.24
 3.665, 21.77, 20.25
 3.670, 21.73, 20.24
 3.675, 21.71, 20.23
 3.680, 21.69, 20.22
 3.685, 21.68, 20.23
 3.690, 21.66, 20.24
 3.695, 21.68, 20.23
 3.700, 21.68, 20.23
 3.705, 21.68, 20.24
 3.710, 21.69, 20.26
 3.715, 21.73, 20.27
 3.720, 21.75, 20.27
 3.725, 21.80, 20.28
 3.730, 21.85, 20.29
 3.735, 21.91, 20.30
 3.740, 21.97, 20.30
 3.745, 22.04, 20.30
 3.750, 22.11, 20.31
 3.755, 22.20, 20.32
 3.760, 22.27, 20.31
 3.765, 22.39, 20.32
 3.770, 22.47, 20.32
 3.775, 22.57, 20.31
 3.780, 22.69, 20.32
 3.785, 22.79, 20.33
 3.790, 22.92, 20.32
 3.795, 23.04, 20.34
