製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,7,,,,,
計測開始時刻 ,2018/2/27 12:23,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
412,-0.0986,0.3277,0.7904,-0.4691,,0.0986
413,-0.0902,0.3277,0.7776,-0.482,,0.0902
414,-0.0925,0.3534,0.7904,-0.482,,0.0925
415,-0.0987,0.3534,0.7904,-0.4691,,0.0987
416,-0.0965,0.3406,0.7904,-0.482,,0.0965
417,-0.0563,0.3534,0.7904,-0.4691,,0.0563
418,-0.05,0.3277,0.7904,-0.4691,,0.05
419,-0.039,0.3534,0.7776,-0.5077,,0.039
420,-0.0389,0.3534,0.8033,-0.4948,,0.0389
421,-0.0048,0.3534,0.7904,-0.4948,,0.0048
422,0.0584,0.3534,0.8033,-0.4563,,0.0584
423,0.0818,0.3406,0.8033,-0.5077,,0.0818
424,0.0744,0.3534,0.7904,-0.4948,,0.0744
425,0.0329,0.3534,0.7904,-0.5077,,0.0329
426,-0.0012,0.3406,0.7904,-0.4691,,0.0012
427,-0.0201,0.3406,0.7776,-0.4948,,0.0201
428,-0.0244,0.3406,0.7904,-0.4948,,0.0244
429,-0.0371,0.3406,0.7904,-0.4948,,0.0371
430,-0.0557,0.3534,0.7904,-0.5077,,0.0557
431,-0.0418,0.3534,0.7904,-0.4948,,0.0418
432,-0.0593,0.3406,0.7776,-0.4948,,0.0593
433,-0.0762,0.3277,0.8033,-0.482,,0.0762
434,-0.0787,0.3534,0.7904,-0.4948,,0.0787
435,-0.0897,0.3406,0.7904,-0.4563,,0.0897
436,-0.088,0.3406,0.7904,-0.482,,0.088
437,-0.0669,0.3406,0.8033,-0.4691,,0.0669
438,-0.0721,0.3406,0.7904,-0.4948,,0.0721
439,-0.0664,0.3406,0.7904,-0.4691,,0.0664
440,-0.0512,0.3406,0.7904,-0.4948,,0.0512
441,-0.0362,0.3406,0.7776,-0.482,,0.0362
442,-0.0368,0.3277,0.7776,-0.482,,0.0368
443,-0.0296,0.3277,0.7776,-0.482,,0.0296
