製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,3,,,,
計測開始時刻 ,2018/2/27 12:10,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
337,0.0308,-0.6234,0.6362,0.0835,0.0308
338,0.0213,-0.6234,0.6362,0.045,0.0213
339,0.036,-0.6362,0.6362,0.0835,0.036
340,0.0285,-0.6234,0.6362,0.0578,0.0285
341,0.0431,-0.6234,0.6362,0.0707,0.0431
342,0.031,-0.6105,0.6362,0.045,0.031
343,0.0202,-0.6234,0.6234,0.0578,0.0202
344,0.0351,-0.6105,0.6234,0.0707,0.0351
345,0.0329,-0.6234,0.6234,0.0707,0.0329
346,0.0396,-0.6234,0.6362,0.0578,0.0396
347,0.0437,-0.6234,0.6362,0.0835,0.0437
348,0.0239,-0.6362,0.6234,0.0707,0.0239
349,0.0213,-0.6234,0.6234,0.0578,0.0213
350,0.0307,-0.6234,0.6362,0.0707,0.0307
351,0.0142,-0.6234,0.6362,0.0578,0.0142
352,0.017,-0.6105,0.6362,0.0578,0.017
353,0.018,-0.6234,0.6362,0.045,0.018
354,0.0286,-0.6234,0.6362,0.0578,0.0286
355,0.0311,-0.6234,0.6362,0.1092,0.0311
356,0.0408,-0.6234,0.6491,0.0578,0.0408
357,0.0276,-0.6234,0.6362,0.0835,0.0276
358,0.016,-0.6105,0.6234,0.0578,0.016
359,0.0197,-0.6105,0.6234,0.0707,0.0197
360,0.0513,-0.6105,0.6362,0.0707,0.0513
361,0.0301,-0.6105,0.6234,0.0835,0.0301
362,0.0382,-0.6362,0.6234,0.1092,0.0382
363,0.0345,-0.6362,0.6105,0.0707,0.0345
364,0.044,-0.6105,0.6234,0.0578,0.044
365,0.0334,-0.6105,0.6234,0.045,0.0334
366,0.0428,-0.6105,0.6105,0.0964,0.0428
367,0.0207,-0.6234,0.6234,0.0707,0.0207
368,0.0325,-0.6234,0.6234,0.0964,0.0325
369,0.0283,-0.6234,0.6234,0.0835,0.0283
370,0.0208,-0.6234,0.6362,0.0707,0.0208
371,0.0101,-0.6234,0.6362,0.0707,0.0101
372,0.0244,-0.6105,0.6362,0.0835,0.0244
373,0.0179,-0.6234,0.6362,0.0707,0.0179
374,0.0241,-0.5976,0.6105,0.045,0.0241
375,0.014,-0.6105,0.6234,0.0578,0.014
376,0.0034,-0.6234,0.6234,0.0707,0.0034
377,0.01,-0.6105,0.6234,0.0707,0.01
378,0.0087,-0.6234,0.6362,0.0707,0.0087
379,0.0103,-0.6362,0.6362,0.0707,0.0103
380,0.0125,-0.6234,0.6234,0.0578,0.0125
381,0.0101,-0.6105,0.6362,0.0707,0.0101
382,0.0195,-0.6105,0.6105,0.0578,0.0195
383,0.0122,-0.6234,0.6234,0.0707,0.0122
384,0.0151,-0.6234,0.6234,0.0707,0.0151
385,0.0116,-0.6105,0.6234,0.0835,0.0116
386,0.0259,-0.6234,0.6234,0.0707,0.0259
387,0.0116,-0.6362,0.6362,0.0707,0.0116
388,0.0224,-0.6234,0.6234,0.0835,0.0224
389,0.0335,-0.5976,0.6234,0.0707,0.0335
390,0.0319,-0.6105,0.6234,0.0578,0.0319
391,0.0229,-0.6105,0.6105,0.0578,0.0229
392,0.0191,-0.6105,0.6234,0.0964,0.0191
393,0.0147,-0.6234,0.6105,0.0707,0.0147
394,0.0273,-0.6362,0.6105,0.0578,0.0273
395,0.0155,-0.6234,0.6105,0.0707,0.0155
396,0.0127,-0.6362,0.6234,0.0578,0.0127
397,0.0318,-0.6234,0.6234,0.0578,0.0318
398,0.0384,-0.6234,0.6234,0.045,0.0384
399,0.0298,-0.6105,0.6234,0.0835,0.0298
400,0.027,-0.6234,0.6234,0.0578,0.027
401,0.0314,-0.6362,0.6234,0.0835,0.0314
402,0.0257,-0.6234,0.6362,0.0707,0.0257
403,0.0384,-0.6234,0.6234,0.0707,0.0384
404,0.0308,-0.6105,0.6362,0.0578,0.0308
405,0.0306,-0.6105,0.6234,0.0578,0.0306
406,0.027,-0.6105,0.6234,0.0707,0.027
407,0.0198,-0.6234,0.6234,0.0707,0.0198
408,0.0196,-0.6105,0.6234,0.0707,0.0196
409,0.0113,-0.6362,0.6234,0.0707,0.0113
410,0.0237,-0.6362,0.6234,0.0707,0.0237
