製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,3,,,,
計測開始時刻 ,2018/2/27 12:36,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
313,0.0433,-0.3534,0.7262,0.2121,0.0433
314,0.0108,-0.3534,0.7262,0.2121,0.0108
315,0.0236,-0.3534,0.739,0.2249,0.0236
316,0.0434,-0.3663,0.7262,0.2121,0.0434
317,0.0459,-0.3663,0.739,0.2249,0.0459
318,0.0532,-0.2892,0.7262,0.2378,0.0532
319,0.0419,-0.3406,0.7262,0.1864,0.0419
320,0.0269,-0.3406,0.7519,0.1992,0.0269
321,0.0236,-0.3534,0.7262,0.2121,0.0236
322,0.0397,-0.3534,0.7262,0.2121,0.0397
323,0.0083,-0.3663,0.739,0.2121,0.0083
324,-0.0116,-0.3663,0.739,0.2378,0.0116
325,0.0214,-0.3792,0.739,0.2121,0.0214
326,0.0045,-0.3663,0.7262,0.1992,0.0045
327,0.0056,-0.3663,0.739,0.2249,0.0056
328,-0.0079,-0.3534,0.739,0.2121,0.0079
329,0.0145,-0.3663,0.739,0.2121,0.0145
330,0.0276,-0.3534,0.739,0.1992,0.0276
331,-0.0008,-0.3663,0.739,0.2378,0.0008
332,0.0199,-0.3663,0.739,0.2249,0.0199
333,0.0174,-0.302,0.7519,0.2121,0.0174
334,0.0129,-0.3534,0.739,0.2249,0.0129
335,0.0456,-0.3663,0.739,0.2378,0.0456
336,0.0133,-0.3663,0.739,0.2121,0.0133
337,0.04,-0.3792,0.739,0.2121,0.04
338,0.0163,-0.3792,0.739,0.1992,0.0163
339,0.0442,-0.3792,0.739,0.2121,0.0442
340,0.0047,-0.3792,0.739,0.2249,0.0047
341,0.0335,-0.3792,0.739,0.2121,0.0335
342,0.0574,-0.3663,0.7262,0.2249,0.0574
343,0.0584,-0.3663,0.739,0.1992,0.0584
344,0.0166,-0.3663,0.7262,0.2121,0.0166
345,0.0306,-0.3792,0.7262,0.2249,0.0306
346,0.0464,-0.392,0.7262,0.2121,0.0464
347,0.0134,-0.3792,0.739,0.2121,0.0134
348,0.0078,-0.3792,0.7519,0.2249,0.0078
349,0.0488,-0.3663,0.739,0.2249,0.0488
350,0.0475,-0.3792,0.739,0.2249,0.0475
351,0.0155,-0.3792,0.739,0.2121,0.0155
352,-0.019,-0.3663,0.739,0.2121,0.019
353,0.0284,-0.3663,0.739,0.2249,0.0284
354,0.0318,-0.3663,0.739,0.2249,0.0318
355,0.0398,-0.3792,0.739,0.2249,0.0398
356,0.0513,-0.392,0.739,0.2121,0.0513
357,0.0571,-0.3792,0.739,0.2249,0.0571
358,0.0229,-0.3792,0.7519,0.2249,0.0229
359,0.0012,-0.3663,0.7519,0.2121,0.0012
360,0.0174,-0.392,0.739,0.2249,0.0174
361,0.0177,-0.3663,0.739,0.2121,0.0177
362,0.016,-0.3792,0.739,0.2121,0.016
363,-0.0001,-0.3792,0.739,0.2121,0.0001
364,0.0362,-0.3663,0.739,0.2378,0.0362
365,0.0181,-0.3663,0.739,0.2121,0.0181
366,0.0313,-0.3663,0.739,0.2121,0.0313
367,0.0391,-0.3663,0.739,0.1992,0.0391
368,0.0591,-0.3663,0.739,0.2378,0.0591
369,0.0462,-0.3792,0.739,0.2249,0.0462
370,0.0178,-0.3792,0.739,0.2249,0.0178
371,0.0202,-0.3663,0.739,0.2121,0.0202
372,0.0526,-0.392,0.7519,0.2378,0.0526
373,0.0469,-0.3663,0.739,0.1992,0.0469
374,0.0464,-0.3663,0.7262,0.2121,0.0464
375,0.0456,-0.3663,0.7262,0.2121,0.0456
376,0.0233,-0.3663,0.7262,0.2249,0.0233
377,0.0214,-0.392,0.7262,0.2121,0.0214
378,0.0317,-0.3663,0.7519,0.2121,0.0317
379,0.0234,-0.3663,0.7519,0.2249,0.0234
380,0.0276,-0.3534,0.739,0.2249,0.0276
381,0.0118,-0.3792,0.7262,0.2249,0.0118
382,0.0155,-0.3663,0.739,0.2121,0.0155
383,0.0211,-0.3663,0.7262,0.2249,0.0211
384,0.0352,-0.3663,0.739,0.1992,0.0352
385,0.0295,-0.3534,0.739,0.2249,0.0295
386,0.0442,-0.3663,0.739,0.2378,0.0442
387,0.0544,-0.3792,0.739,0.2121,0.0544
388,0.06,-0.3663,0.7262,0.2121,0.06
389,0.0267,-0.3663,0.739,0.1992,0.0267
390,0.0185,-0.3663,0.739,0.2121,0.0185
391,0.0379,-0.3534,0.7262,0.2121,0.0379
392,0.0514,-0.3534,0.7519,0.2249,0.0514
393,0.0385,-0.3663,0.739,0.2249,0.0385
394,0.0511,-0.3663,0.739,0.2121,0.0511
395,0.0319,-0.3663,0.739,0.2249,0.0319
396,0.0193,-0.3406,0.739,0.2378,0.0193
397,0.0257,-0.3663,0.739,0.2121,0.0257
398,0.0313,-0.3534,0.7262,0.2121,0.0313
399,0.0298,-0.3663,0.739,0.2249,0.0298
400,0.0272,-0.3663,0.7262,0.2249,0.0272
401,0.0325,-0.3534,0.739,0.2121,0.0325
402,0.0437,-0.3792,0.739,0.2249,0.0437
403,0.0182,-0.302,0.7262,0.2121,0.0182
404,0.0401,-0.3406,0.7262,0.1992,0.0401
405,0.027,-0.3534,0.7262,0.1864,0.027
406,0.0163,-0.3534,0.7262,0.1992,0.0163
407,0.0032,-0.3534,0.739,0.2249,0.0032
408,0.0174,-0.3534,0.739,0.2378,0.0174
