[位置・速度],,,,,,,,
,,,,,,,,
"ファイル        , C:\Users\bcl\Documents\計測データ\227\Session005\Temp.AVI",,,,,,,,
"シーン数        ,   4001",,,,,,,,
"計測点数        ,      3",,,,,,,,
"コマ数／単位時間, 200.00/s, フレーム間隔, 0.01s",,,,,,,,
"計測インターバル, 1",,,,,,,,
"距離スケール    , 0.11cm/画素",,,,,,,,
"原点X           , 0.00",,,,,,,,
"原点Y           , 0.00",,,,,,,,
"回転角          , 0.00",,,,,,,,
"Y軸方向         , 1",,,,,,,,
,,,座標X,,,座標Y,,
 ,シーン,時間(s),計測点1,計測点2,計測点3,計測点1,計測点2,計測点3
,325,1.62,27.29,23.47,38.26,3.79,18.01,33.82
,326,1.63,27.12,23.19,38.41,3.82,18.03,33.58
,327,1.63,26.93,22.89,38.66,3.82,17.98,33.28
,328,1.64,26.77,22.63,39.01,3.82,17.89,32.97
,329,1.64,26.61,22.38,39.37,3.80,17.80,32.62
,330,1.65,26.47,22.12,39.83,3.77,17.65,32.24
,331,1.65,26.36,21.90,40.27,3.77,17.52,31.84
,332,1.66,26.27,21.69,40.78,3.71,17.37,31.41
,333,1.66,26.20,21.49,41.27,3.69,17.24,30.90
,334,1.67,26.14,21.33,41.76,3.66,17.14,30.46
,335,1.67,26.14,21.14,42.27,3.61,17.06,29.89
,336,1.68,26.11,21.01,42.74,3.60,16.99,29.36
,337,1.68,26.08,20.89,43.22,3.58,16.91,28.78
,338,1.69,26.08,20.77,43.69,3.57,16.88,28.18
,339,1.69,26.07,20.71,44.11,3.57,16.84,27.59
,340,1.70,26.07,20.63,44.52,3.55,16.81,26.94
,341,1.70,26.07,20.59,44.87,3.53,16.79,26.33
,342,1.71,26.09,20.56,45.20,3.54,16.77,25.64
,343,1.71,26.12,20.56,45.48,3.53,16.77,24.97
,344,1.72,26.14,20.59,45.70,3.53,16.76,24.31
,345,1.72,26.16,20.61,45.90,3.52,16.75,23.61
,346,1.73,26.22,20.70,46.02,3.52,16.73,22.93
,347,1.73,26.26,20.80,46.09,3.53,16.73,22.24
,348,1.74,26.34,20.91,46.12,3.52,16.74,21.52
,349,1.74,26.38,21.05,46.09,3.54,16.75,20.86
,350,1.75,26.46,21.24,46.01,3.53,16.77,20.16
,351,1.75,26.50,21.42,45.87,3.55,16.78,19.51
,352,1.76,26.57,21.66,45.69,3.57,16.80,18.83
,353,1.76,26.63,21.93,45.45,3.58,16.83,18.19
,354,1.77,26.69,22.19,45.17,3.63,16.87,17.55
,355,1.77,26.74,22.50,44.82,3.67,16.95,16.90
,356,1.78,26.81,22.82,44.46,3.73,17.02,16.31
,357,1.78,26.90,23.18,44.04,3.77,17.11,15.71
,358,1.79,27.01,23.54,43.57,3.83,17.21,15.11
,359,1.79,27.12,23.92,43.10,3.89,17.33,14.56
,360,1.79,27.23,24.32,42.56,3.97,17.47,13.99
,361,1.80,27.40,24.70,42.06,4.01,17.63,13.48
,362,1.80,27.55,25.10,41.50,4.07,17.78,12.97
,363,1.81,27.71,25.43,40.99,4.11,17.90,12.51
,364,1.81,27.84,25.75,40.50,4.17,18.02,12.09
,365,1.82,28.00,25.97,40.01,4.20,18.13,11.66
,366,1.83,28.11,26.09,39.62,4.26,18.24,11.31
,367,1.83,28.20,26.18,39.28,4.31,18.33,10.99
,368,1.84,28.24,26.17,39.05,4.34,18.41,10.72
,369,1.84,28.24,26.08,38.89,4.39,18.46,10.51
,370,1.85,28.21,25.89,38.83,4.40,18.51,10.34
,371,1.85,28.17,25.68,38.90,4.43,18.54,10.23
,372,1.86,28.08,25.38,39.03,4.42,18.56,10.16
,373,1.86,27.96,25.05,39.29,4.44,18.57,10.15
,374,1.87,27.82,24.69,39.61,4.44,18.57,10.20
,375,1.87,27.67,24.30,40.05,4.42,18.56,10.29
,376,1.88,27.55,23.92,40.48,4.41,18.53,10.44
,377,1.88,27.40,23.53,40.98,4.38,18.51,10.65
,378,1.89,27.25,23.15,41.51,4.31,18.47,10.93
,379,1.89,27.13,22.83,42.04,4.26,18.41,11.24
,380,1.90,27.02,22.49,42.59,4.20,18.37,11.64
,381,1.90,26.92,22.18,43.09,4.16,18.30,12.09
,382,1.91,26.80,21.90,43.59,4.09,18.21,12.59
,383,1.91,26.72,21.66,44.07,4.02,18.14,13.15
,384,1.92,26.64,21.44,44.51,3.93,18.05,13.75
,385,1.92,26.58,21.28,44.95,3.82,17.95,14.44
,386,1.93,26.50,21.13,45.34,3.75,17.82,15.15
,387,1.93,26.47,21.05,45.68,3.67,17.72,15.91
,388,1.94,26.45,20.99,46.00,3.57,17.58,16.71
,389,1.94,26.42,20.98,46.28,3.49,17.43,17.56
,390,1.95,26.40,21.01,46.49,3.39,17.29,18.49
,391,1.95,26.40,21.04,46.64,3.31,17.15,19.40
,392,1.96,26.44,21.13,46.75,3.23,16.99,20.36
,393,1.96,26.45,21.24,46.79,3.15,16.83,21.36
,394,1.97,26.49,21.36,46.79,3.07,16.69,22.32
,395,1.97,26.55,21.55,46.74,3.01,16.56,23.36
,396,1.98,26.59,21.74,46.61,2.93,16.45,24.33
,397,1.98,26.67,22.00,46.42,2.89,16.31,25.34
,398,1.99,26.73,22.25,46.18,2.82,16.20,26.31
,399,1.99,26.80,22.53,45.87,2.76,16.10,27.24
,400,2.00,26.89,22.82,45.51,2.72,16.02,28.17
,401,2.00,26.97,23.08,45.14,2.70,15.95,28.97
,402,2.00,27.03,23.39,44.70,2.68,15.91,29.75
,403,2.01,27.13,23.64,44.25,2.66,15.85,30.46
,404,2.02,27.23,23.87,43.82,2.68,15.84,31.04
,405,2.02,27.33,24.10,43.37,2.68,15.85,31.55
,406,2.02,27.41,24.28,42.93,2.70,15.88,31.95
,407,2.03,27.49,24.43,42.50,2.71,15.92,32.29
,408,2.04,27.55,24.49,42.10,2.76,15.99,32.52
