製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,12 ,
計測開始時刻 ,00/00/00 00:08 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
       442,  -0.1878,   0.9575,   0.1607,  -1.2274
       443,  -0.1346,   0.9575,   0.1735,  -1.2531
       444,  -0.1019,   0.9704,   0.1607,  -1.2531
       445,  -0.0902,   0.9704,   0.1735,  -1.2274
       446,  -0.0296,   0.9961,   0.1607,  -1.2403
       447,   0.0394,   0.9704,   0.1735,  -1.2274
       448,  -0.0171,   1.0475,   0.1350,  -1.2531
       449,   0.0438,   1.0218,   0.1607,  -1.2403
       450,   0.0948,   1.0218,   0.1478,  -1.2403
       451,   0.0895,   1.0346,   0.1478,  -1.2146
       452,   0.0921,   1.0346,   0.1607,  -1.2017
       453,   0.2079,   1.0346,   0.1607,  -1.2146
       454,   0.2495,   1.0475,   0.1607,  -1.2274
       455,   0.2200,   1.0475,   0.1478,  -1.2146
       456,   0.1240,   1.0346,   0.1478,  -1.2274
       457,   0.0655,   1.0603,   0.1478,  -1.2274
       458,  -0.0023,   1.0603,   0.1478,  -1.2146
       459,  -0.0792,   1.0475,   0.1350,  -1.2274
       460,  -0.0614,   1.0475,   0.1350,  -1.2274
       461,   0.0018,   1.0218,   0.1350,  -1.2403
