製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,3,,,,
計測開始時刻 ,2018/2/27 11:49,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
350,0.0295,-0.6619,0.5719,-0.2763,0.0295
351,0.0272,-0.6876,0.5591,-0.2506,0.0272
352,0.0354,-0.6748,0.5719,-0.302,0.0354
353,0.033,-0.6748,0.5591,-0.302,0.033
354,0.0207,-0.6748,0.5719,-0.2892,0.0207
355,0.0362,-0.6876,0.5719,-0.2635,0.0362
356,0.0157,-0.6748,0.5719,-0.2892,0.0157
357,0.0347,-0.6748,0.5719,-0.2506,0.0347
358,0.0142,-0.6876,0.5719,-0.2892,0.0142
359,0.0378,-0.6748,0.5591,-0.2506,0.0378
360,0.022,-0.6748,0.5719,-0.2763,0.022
361,0.0257,-0.6748,0.5719,-0.2763,0.0257
362,0.0124,-0.6876,0.5719,-0.2635,0.0124
363,0.0177,-0.6876,0.5719,-0.2506,0.0177
364,0.0179,-0.6619,0.5719,-0.2892,0.0179
365,0.0319,-0.6876,0.5719,-0.2763,0.0319
366,0.0328,-0.6619,0.5719,-0.302,0.0328
367,0.0376,-0.6876,0.5719,-0.2635,0.0376
368,0.042,-0.6748,0.5719,-0.2763,0.042
369,0.0335,-0.6876,0.5848,-0.2635,0.0335
370,0.0237,-0.6748,0.5719,-0.2635,0.0237
371,0.0234,-0.6748,0.5976,-0.2506,0.0234
372,0.0317,-0.6748,0.5848,-0.2763,0.0317
373,0.0357,-0.6234,0.5719,-0.2763,0.0357
374,0.021,-0.6619,0.5719,-0.2892,0.021
375,0.0417,-0.6748,0.5719,-0.2635,0.0417
376,0.0221,-0.6748,0.5848,-0.2892,0.0221
377,0.0244,-0.6876,0.5719,-0.2763,0.0244
378,0.0261,-0.6876,0.5719,-0.2892,0.0261
379,0.0207,-0.6876,0.5848,-0.2506,0.0207
380,0.0105,-0.6619,0.5719,-0.2763,0.0105
381,0.0148,-0.6876,0.5719,-0.2635,0.0148
382,0.0126,-0.6748,0.5719,-0.2635,0.0126
383,0.0218,-0.6748,0.5719,-0.2892,0.0218
384,0.0036,-0.6748,0.5719,-0.2763,0.0036
385,0.016,-0.6748,0.5848,-0.2635,0.016
386,0.0301,-0.6748,0.5848,-0.2763,0.0301
387,0.0191,-0.6748,0.5719,-0.2506,0.0191
388,0.0124,-0.6619,0.5719,-0.2635,0.0124
389,0.013,-0.6748,0.5462,-0.2635,0.013
390,0.0296,-0.6876,0.5719,-0.2763,0.0296
391,0.0299,-0.6748,0.5848,-0.2763,0.0299
392,0.0212,-0.6748,0.5719,-0.2763,0.0212
393,0.0339,-0.7005,0.5719,-0.2635,0.0339
394,0.0365,-0.6876,0.5848,-0.2506,0.0365
395,0.019,-0.7005,0.5719,-0.2892,0.019
396,0.0301,-0.6876,0.5719,-0.2763,0.0301
397,0.0336,-0.6748,0.5719,-0.2892,0.0336
398,0.0108,-0.6748,0.5719,-0.2892,0.0108
399,0.0224,-0.6748,0.5719,-0.2763,0.0224
400,0.0328,-0.6876,0.5719,-0.2635,0.0328
401,0.0375,-0.6748,0.5848,-0.2378,0.0375
402,0.0412,-0.6876,0.5719,-0.2635,0.0412
403,0.0356,-0.6748,0.5719,-0.2763,0.0356
404,0.0367,-0.6619,0.5591,-0.2763,0.0367
405,0.0369,-0.6748,0.5591,-0.2635,0.0369
406,0.0233,-0.6619,0.5719,-0.2635,0.0233
407,0.0182,-0.6748,0.5591,-0.2635,0.0182
408,0.0292,-0.6748,0.5719,-0.2635,0.0292
409,0.0266,-0.6876,0.5719,-0.2763,0.0266
410,0.0417,-0.6876,0.5719,-0.2635,0.0417
411,0.0188,-0.6748,0.5591,-0.2763,0.0188
412,0.0372,-0.6748,0.5719,-0.2763,0.0372
413,0.0218,-0.6619,0.5719,-0.2635,0.0218
414,0.0116,-0.6748,0.5591,-0.2635,0.0116
415,0.0206,-0.6748,0.5719,-0.2635,0.0206
416,0.0219,-0.6876,0.5719,-0.2506,0.0219
417,0.0199,-0.6876,0.5719,-0.2506,0.0199
418,0.0242,-0.7005,0.5591,-0.2763,0.0242
419,0.0342,-0.6748,0.5719,-0.2635,0.0342
420,0.0241,-0.7005,0.5719,-0.2635,0.0241
421,0.0466,-0.6876,0.5462,-0.2763,0.0466
422,0.0274,-0.6876,0.5719,-0.2763,0.0274
423,0.0287,-0.6876,0.5591,-0.2763,0.0287
424,0.0281,-0.6876,0.5719,-0.2892,0.0281
425,0.0297,-0.6876,0.5591,-0.2635,0.0297
426,0.0275,-0.7005,0.5591,-0.2763,0.0275
427,0.03,-0.6748,0.5591,-0.2763,0.03
428,0.0244,-0.6748,0.5591,-0.2763,0.0244
429,0.0317,-0.6876,0.5719,-0.2635,0.0317
430,0.0442,-0.7005,0.5462,-0.2763,0.0442
431,0.0398,-0.7005,0.5462,-0.2763,0.0398
432,0.0316,-0.6748,0.5591,-0.2763,0.0316
433,0.0246,-0.6876,0.5591,-0.2506,0.0246
434,0.0296,-0.6876,0.5462,-0.2763,0.0296
435,0.0272,-0.6876,0.5719,-0.2763,0.0272
436,0.0302,-0.6748,0.5591,-0.302,0.0302
437,0.034,-0.6748,0.5462,-0.2763,0.034
438,0.0207,-0.6876,0.5591,-0.2635,0.0207
439,0.03,-0.6876,0.5591,-0.2635,0.03
440,0.0078,-0.7005,0.5591,-0.2635,0.0078
441,0.0053,-0.6876,0.5719,-0.2635,0.0053
442,-0.001,-0.6748,0.5462,-0.2763,0.001
443,0.0019,-0.6876,0.5591,-0.2635,0.0019
444,0.0286,-0.6748,0.5462,-0.2635,0.0286
445,0.0346,-0.6748,0.5591,-0.2763,0.0346
446,0.0192,-0.6876,0.5591,-0.2892,0.0192
447,0.0325,-0.6876,0.5719,-0.2506,0.0325
448,0.0347,-0.6876,0.5719,-0.2506,0.0347
449,0.0195,-0.6748,0.5591,-0.2635,0.0195
450,0.0302,-0.6748,0.5719,-0.2506,0.0302
451,0.0133,-0.6876,0.5462,-0.2506,0.0133
452,0.0379,-0.6748,0.5591,-0.2378,0.0379
453,0.0422,-0.6876,0.5591,-0.2763,0.0422
454,0.0329,-0.6876,0.5591,-0.2635,0.0329
